,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Queanbeyan,"Gaol. Plans, sections and elevation of proposed hospital ward",1878,-,-,4335 [Plan 847],Colonial Architect Plan No. PC425/17,"Appendix B: Architectural Plans, 1848-1967",
,Queanbeyan,Gaol,1864-65,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Gaol,1864-67,-,-,4332 [2/646],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Bridge,1854-59,-,-,4332 [2/621],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Bridge,1857-61,-,-,4332 [2/646],-,"Appendix A: Correspondence, c.1837-96",
,Queanbeyan,Court and Watch House,1848-57,-,-,4332 [2/646],-,"Appendix A: Correspondence, c.1837-96",
,Queensland,-,-,-,-,-,see Brisbane; Moreton Bay,"Appendix A: Correspondence, c.1837-96",
,Quirindi,Escort Station “Loder’s” (Quirindi),1853-54,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Quirindi,"Court House and Lock-up. Plans, elevations and sections",1880,-,-,4335 [Plan 848],Colonial Architect Plan No. PC426/3,"Appendix B: Architectural Plans, 1848-1967",
,Quirindi,"Court House and Lock-up. Plans, elevations and sections of horse shed, tank, fencing, gates and closet",1885,-,-,4335 [Plan 849],Colonial Architect Plan No. PC426/4,"Appendix B: Architectural Plans, 1848-1967",
,Quirindi,"Court House and Lock-up. Plans, elevations and sections of horse shed, tank, fencing, gates and closet",1885,-,-,4335 [Plan 850],Colonial Architect Plan No. PC426/5,"Appendix B: Architectural Plans, 1848-1967",
,Quirindi,Memorial Clock Tower,c.1923,-,94,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Randwick,Necropolis. General cemetery,1847-59,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,Randwick,"Lock-up. Plans, elevations and sections",1881,-,-,4335 [Plan 851],Colonial Architect Plan No. PC427/3,"Appendix B: Architectural Plans, 1848-1967",
,Randwick,Proposed Soldiers’ Memorial,c.1922,-,87,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Randwick,Post Office,-,-,5,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Raymond Terrace,Court House (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X694],-,"Appendix C: Designs of public buildings, 1837",
,Raymond Terrace,Boat Shed,1858-59,-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Raymond Terrace,Court and Watch House,"1849, 1858-66",-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Raymond Terrace,Ferry Landing Places,1854-59,-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Raymond Terrace,Lock-up,1846,-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Raymond Terrace,Soldiers’ Memorial,1923,-,"54, 72",18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Redfern,Court House and Lock-up. Elevations and sections,1894,-,-,4335 [Plan 852],Colonial Architect Plan No. PC431/5. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Redfern,Court House and Lock-up. Details of masonry,1896,-,-,4335 [Plan 853],Colonial Architect Plan No. PC431/6. Signature of architect (L. Robertson) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Redfern,Public School,1877,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Redfern,Court House,-,-,11,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Redfern,Police Station,-,-,94,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Richmond,Lock-up,"1848-52, 1857",-,-,4332 [2/623],see also Ballina,"Appendix A: Correspondence, c.1837-96",
,Richmond,Watch House,1855-56,-,-,4332 [2/624],see also Ballina,"Appendix A: Correspondence, c.1837-96",
,Richmond,-,-,-,-,4338 [X17],See also  North Richmond,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Richmond,Teacher’s Residence,1877,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Richmond,Infants’ School,1878,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Rockhampton,Custom House,-,-,46,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,"Rockhampton, Queensland",Court and Watch House,1858-59,-,-,"4332 [2/647, 2/623]",see also Port Curtis,"Appendix A: Correspondence, c.1837-96",
,"Rockhampton, Queensland",Customs House,1858-59,-,-,4332 [2/623],see also Port Curtis,"Appendix A: Correspondence, c.1837-96",
,"Rockhampton, Queensland",Gold Receiver’s Office,1858,-,-,4332 [2/647],see also Port Curtis,"Appendix A: Correspondence, c.1837-96",
,"Rockhampton, Queensland",Wharf,1859,-,-,4332 [2/623],see also Port Curtis,"Appendix A: Correspondence, c.1837-96",
,"Rockhampton, Queensland",Wharf,1859,-,-,4332 [2/647],see also Port Curtis,"Appendix A: Correspondence, c.1837-96",
,Rockley,"Court House, and Lock-up",1862-66,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Rocky River,-,-,-,-,-,see Uralla,"Appendix A: Correspondence, c.1837-96",
,Rose Bay,Strickland Hospital for women “Carara”,-,-,125,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Rouse Hill,Watch House,1863,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,"Royal Mint, Sydney",-,-,-,-,-,"see Mint, Sydney","Appendix A: Correspondence, c.1837-96",
,Rugby,Police Station,-,-,33,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Rushcutter’s Bay,"Road, Rushcutter’s Bay",1854,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Rydal,"Plan, elevations and section of proposed additions to residence",1897,-,-,4335 [Plan 1045],Colonial Architect Plan No. SB1321/1,"Appendix B: Architectural Plans, 1848-1967",
,Rydalmere,Hospital,-,-,17,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Rydalmere,"Mental Hospital, recreation Hall",-,-,101,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Rydalmere,Proposed Soldiers’ Memorial,c.1923,-,84,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Ryde,Court and Watch House,1863-66,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Ryde,Lock-up,1853-54,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Ryde,Roman Catholic Church,1857,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Rylstone,"Court House. Plan, elevations and sections",-,-,-,4335 [Plan 859],Colonial Architect Plan No. PC445/06,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,Lock-up. Block plan of proposed fencing,1896,-,-,4335 [Plan 854],Colonial Architect Plan No. PC445/01,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,"Police Buildings. Cottage for Sergeant.  Plan, elevations and sections",1882,-,-,4335 [Plan 855],Colonial Architect Plan No. PC445/02,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,Police Buildings. Proposed fencing police sergeant’s quarters,1889,-,-,4335 [Plan 856],Colonial Architect Plan No. PC445/03. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,Police Buildings. Site of new buildings,1887,-,-,4335 [Plan 857],Colonial Architect Plan No. PC445/04. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,Police Buildings. Site of new buildings,1887,-,-,4335 [Plan 858],Colonial Architect Plan No. PC445/05. Signature of architect (Roberts) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Rylstone,Court and Watch House,"1852-56, 1858, 1862, 1866",-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Rylstone,Lands Office,1862,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Rylstone,Police Office,"1855, 1859, 1863",-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Sackville Reach,School and Teacher’s Residence,1877,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Saint Albans,Lock-up,1864-65,-,-,4332 [2/625],also McDonald River,"Appendix A: Correspondence, c.1837-96",
,Saint Albans,Watch House (McDonald River),1848-52,-,-,4332 [2/609],also McDonald River,"Appendix A: Correspondence, c.1837-96",
,Scone,Court House,-,-,178,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Scone,Court House,1846-50,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Scone,Court House and Lock-up,"1857, 1860-63, 1866",-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Scone,Hospital,1862,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Scone,Lock-up,1850-51,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Scone,Police Office,1863,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Scone,Solitary cells,1840,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Seventeen Mile Hollow,Toll Bar,"1856, 1860-61",-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,Seventeen Mile Hollow,Toll House,-,-,-,4332 [2/648],(various dates),"Appendix A: Correspondence, c.1837-96",
,Seymour,Removal of police buildings from Denison to Seymour,1863-66,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Shellharbour,Shipping Office,"1854-57, 1862-66",-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Shellharbour,Watch House,1858-61,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Shoalhaven,Court House,1865,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,Silverton,Court House. Detail of mould to front window of Court room,July 1888,-,-,4335 [Plan 1987],Colonial Architect Plan No. 1288/87. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,Court House. Details of roof gutter and fittings in Court room,July 1888,-,-,4335 [Plan 1988],Colonial Architect Plan No. 4/88. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,Court House. Detail of upper window of Court room,1888,-,-,4335 [Plan 1989],Colonial Architect Plan No. 784/88,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,Court House. Detail of Chimney cap,August 1888,-,-,4335 [Plan 1991],Colonial Architect Plan No. 856/88. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,Court House and Warder’s Quarters. Plan showing principals (this instruction cancelled and ordered to be re-traced),1888,-,-,4335 [Plan 1990],Colonial Architect Plan No. 831/88,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,Court House and Warder’s Quarters. Plan of Wardens Offices,-,-,-,4335 [Plan 905],Colonial Architect Plan No. PC609/1,"Appendix B: Architectural Plans, 1848-1967",
,Silverton,"Post and Telegraph Office. Plans, elevations and sections",1890,-,-,4335 [Plan 1992],Colonial Architect Plan No. 1010/90,"Appendix B: Architectural Plans, 1848-1967",
,Singleton,Soldiers’ Memorial,1924,-,92,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Singleton,Court and Watch House,1853-66,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Singleton,Gaol and Lock-up,1860-62,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Smithtown,"Lock-up. Plan, elevations and sections",1886,-,-,4335 [Plan 860],Colonial Architect Plan No. PC452/1,"Appendix B: Architectural Plans, 1848-1967",
,Snowy River,Accounts,1860,-,-,4332 [2/623],see also Kiandra,"Appendix A: Correspondence, c.1837-96",
,Snowy River,Police Station and Lock-up,1860,-,-,4332 [2/647],see also Kiandra,"Appendix A: Correspondence, c.1837-96",
,Snowy River,Post and Telegraph Office,1860,-,-,4332 [2/647],see also Kiandra,"Appendix A: Correspondence, c.1837-96",
,Sofala,Court and Watch House,1858-65,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Sofala,Gold Commissioner’s Office,1857,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Sofala,Police Office,"1857, 1860-62",-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Sofala,Telegraph and Post Office,1861-63,-,-,4332 [2/624],-,"Appendix A: Correspondence, c.1837-96",
,Solitary Creek,"Erection of Escort Stations on Bathurst Road, at Bindmeer, Fryingpan Creek and Solitary Creek","1849-54, 1863-64",-,-,4332 [2/592],-,"Appendix A: Correspondence, c.1837-96",
,South Brisbane,-,-,-,-,-,see Brisbane South,"Appendix A: Correspondence, c.1837-96",
,"South Head, Flagstaff","Signal Station. Plan, elevations, sections",May 1874,-,-,4335 [Plan 1993],Colonial Architect Plan No. 236. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,"South Head, Port Jackson",Life boat Shed,1855-58,-,-,4332 [2/630A],see also Watson’s Bay,"Appendix A: Correspondence, c.1837-96",
,"South Head, Port Jackson",Life boat slip,"1860-61, 1866",-,-,4332 [2/649],see also Watson’s Bay,"Appendix A: Correspondence, c.1837-96",
,"South Head, Port Jackson",Lighthouse,1859,-,-,4332 [2/649],see also Watson’s Bay,"Appendix A: Correspondence, c.1837-96",
,"South Head, Port Jackson",Road to South Head,1848,-,-,4332 [2/636],see also Watson’s Bay,"Appendix A: Correspondence, c.1837-96",
,Springwood,Watch House,"1848, 1855",-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,St. Leonards,Royal North Shore Hospital,-,-,104-5,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,St. Marys,Proposed Soldiers’ Memorial,c.1921,-,9,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Stoney Creek,Court and Watch House,1859-66,-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Stoney Creek,Lock-up,1857-58,-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,Stoney Creek,Police Office,"1857, 1859, 1861",-,-,4332 [2/623],-,"Appendix A: Correspondence, c.1837-96",
,"Strathfield, South",Public School,1879,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Stroud,Police Office,1860,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Stroud,Watch and Court House,1861-65,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Surat,Police Paddock,1857,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,"Surrey Hills, South",Temporary School,1880,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,"Surrey Hills, South",Fencing,1880,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Sussex Street,Public School,1875,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Sutton Forest,School and Teacher’s Residence,1877,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Sutton Forest,Fencing - Public School,1880,-,-,4338 [X17],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Sutton Forrest,Watch House,1863-65,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Registrar General, New Offices. Plan No.10.  Block plan, Section on CC",November 1908,-,-,4335 [Plan 2285],Colonial Architect Plan No. 3962. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"National Art Gallery. Extension.  Ground plan, basement plan, elevation",-,-,-,4335 [Plan 1942],Colonial Architect Plan No. ?,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Parliament House. Legislative Council,1854-64,-,-,4332 [2/605A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Government Printing Office. Proposed lay-out of new building.  Basement floor plan,1839,-,-,4335 [Plan 1001],Colonial Architect Plan No. PB26/175. Signature of architect (C. Parkes) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Proposed first contract (Strong Room) and suggested second contract with re-adjustment of offices shown,1894,-,-,4335 [Plan 995],Colonial Architect Plan No. PB25/48. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"English, Scottish & Australian Bank, George Street, Site",1860,-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Colonial Secretary’s Office,"1850-54, 1853-66",-,-,4332 [2/585],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Accommodation.  Copy of first floor plan (not signed),August 1857,-,-,4335 [Plan 1792],Colonial Architect Plan No. B1495/79,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Central Police Courts (Liverpool Street). Plan showing gas pipes, rainwater pipes, water supply and sewerage",-,-,-,4335 [Plan 719],Colonial Architect Plan No. PC125/29,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.11.  Centre portion of south elevation",November 1908,-,-,4335 [Plan 2286],Colonial Architect Plan No. 3963. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"National Art Gallery. Extension.  Ground plan, basement plan, elevation (Marked No.1)",1896,-,-,4335 [Plan 1943],Colonial Architect Plan No. A444,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Parliament House. Legislative Council,"1848-54, 1858-63",-,-,4332 [2/605B],-,"Appendix A: Correspondence, c.1837-96",
